close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
26312.3,2025-12-19 11:05:00,NFO,24-FEB-2026,26317.9,26312.3,26317.9,609505,Futures,NIFTY,65
26311.0,2025-12-19 11:06:00,NFO,24-FEB-2026,26312.3,26311.0,26312.3,609505,Futures,NIFTY,130
26308.3,2025-12-19 11:07:00,NFO,24-FEB-2026,26311.0,26308.3,26311.0,609505,Futures,NIFTY,195
26315.0,2025-12-19 11:08:00,NFO,24-FEB-2026,26315.0,26308.3,26308.3,609440,Futures,NIFTY,260
26315.0,2025-12-19 11:09:00,NFO,24-FEB-2026,26315.0,26315.0,26315.0,609440,Futures,NIFTY,0
26315.0,2025-12-19 11:10:00,NFO,24-FEB-2026,26315.0,26315.0,26315.0,609440,Futures,NIFTY,130
26315.0,2025-12-19 11:11:00,NFO,24-FEB-2026,26315.0,26313.3,26315.0,609440,Futures,NIFTY,390
26315.0,2025-12-19 11:12:00,NFO,24-FEB-2026,26315.0,26315.0,26315.0,609440,Futures,NIFTY,65
26315.0,2025-12-19 11:13:00,NFO,24-FEB-2026,26315.0,26315.0,26315.0,609440,Futures,NIFTY,325
26315.0,2025-12-19 11:14:00,NFO,24-FEB-2026,26315.0,26309.5,26315.0,608985,Futures,NIFTY,325
26315.0,2025-12-19 11:15:00,NFO,24-FEB-2026,26315.0,26315.0,26315.0,608985,Futures,NIFTY,0
26320.0,2025-12-19 11:16:00,NFO,24-FEB-2026,26320.0,26316.0,26316.0,608985,Futures,NIFTY,130
26320.0,2025-12-19 11:17:00,NFO,24-FEB-2026,26320.0,26320.0,26320.0,608985,Futures,NIFTY,0
26316.0,2025-12-19 11:18:00,NFO,24-FEB-2026,26320.0,26316.0,26320.0,608855,Futures,NIFTY,65
26316.0,2025-12-19 11:19:00,NFO,24-FEB-2026,26316.0,26316.0,26316.0,608855,Futures,NIFTY,0
26318.7,2025-12-19 11:20:00,NFO,24-FEB-2026,26318.7,26316.0,26316.0,608855,Futures,NIFTY,65
26315.0,2025-12-19 11:21:00,NFO,24-FEB-2026,26318.7,26315.0,26318.7,608855,Futures,NIFTY,130
26320.0,2025-12-19 11:22:00,NFO,24-FEB-2026,26320.0,26315.0,26315.0,608855,Futures,NIFTY,325
26313.0,2025-12-19 11:23:00,NFO,24-FEB-2026,26320.0,26313.0,26320.0,608725,Futures,NIFTY,65
26310.0,2025-12-19 11:24:00,NFO,24-FEB-2026,26313.0,26310.0,26313.0,608725,Futures,NIFTY,130
26310.0,2025-12-19 11:25:00,NFO,24-FEB-2026,26310.0,26310.0,26310.0,608725,Futures,NIFTY,130
26310.0,2025-12-19 11:26:00,NFO,24-FEB-2026,26310.0,26310.0,26310.0,608725,Futures,NIFTY,0
26301.5,2025-12-19 11:27:00,NFO,24-FEB-2026,26310.0,26301.5,26310.0,608725,Futures,NIFTY,585
26302.1,2025-12-19 11:28:00,NFO,24-FEB-2026,26302.1,26301.5,26301.5,608725,Futures,NIFTY,130
26299.9,2025-12-19 11:29:00,NFO,24-FEB-2026,26303.0,26299.9,26302.1,608335,Futures,NIFTY,585
26296.9,2025-12-19 11:30:00,NFO,24-FEB-2026,26299.9,26295.7,26299.9,608335,Futures,NIFTY,325
26296.9,2025-12-19 11:31:00,NFO,24-FEB-2026,26296.9,26296.9,26296.9,608335,Futures,NIFTY,0
26296.9,2025-12-19 11:32:00,NFO,24-FEB-2026,26296.9,26296.9,26296.9,608400,Futures,NIFTY,65
26296.9,2025-12-19 11:33:00,NFO,24-FEB-2026,26296.9,26296.9,26296.9,608400,Futures,NIFTY,0
26294.6,2025-12-19 11:34:00,NFO,24-FEB-2026,26296.9,26293.7,26296.9,608530,Futures,NIFTY,390
26296.9,2025-12-19 11:35:00,NFO,24-FEB-2026,26296.9,26294.6,26294.6,608530,Futures,NIFTY,195
26302.0,2025-12-19 11:36:00,NFO,24-FEB-2026,26302.0,26296.9,26296.9,608530,Futures,NIFTY,390
26302.0,2025-12-19 11:37:00,NFO,24-FEB-2026,26302.0,26302.0,26302.0,608530,Futures,NIFTY,0
26302.0,2025-12-19 11:38:00,NFO,24-FEB-2026,26302.0,26302.0,26302.0,608530,Futures,NIFTY,0
26302.0,2025-12-19 11:39:00,NFO,24-FEB-2026,26302.0,26302.0,26302.0,608530,Futures,NIFTY,0
26298.3,2025-12-19 11:40:00,NFO,24-FEB-2026,26302.0,26298.3,26302.0,608530,Futures,NIFTY,195
26298.3,2025-12-19 11:41:00,NFO,24-FEB-2026,26298.3,26298.3,26298.3,608530,Futures,NIFTY,0
26298.3,2025-12-19 11:42:00,NFO,24-FEB-2026,26298.3,26298.3,26298.3,608530,Futures,NIFTY,0
26290.0,2025-12-19 11:43:00,NFO,24-FEB-2026,26298.3,26290.0,26298.3,608465,Futures,NIFTY,325
26286.0,2025-12-19 11:44:00,NFO,24-FEB-2026,26290.0,26286.0,26290.0,608400,Futures,NIFTY,130
26277.0,2025-12-19 11:45:00,NFO,24-FEB-2026,26286.0,26277.0,26286.0,608400,Futures,NIFTY,650
26286.6,2025-12-19 11:46:00,NFO,24-FEB-2026,26286.6,26275.1,26277.0,608400,Futures,NIFTY,390
26291.3,2025-12-19 11:47:00,NFO,24-FEB-2026,26291.3,26286.6,26286.6,608140,Futures,NIFTY,130
26283.5,2025-12-19 11:48:00,NFO,24-FEB-2026,26291.3,26283.5,26291.3,608140,Futures,NIFTY,325
26283.5,2025-12-19 11:49:00,NFO,24-FEB-2026,26283.5,26283.5,26283.5,608140,Futures,NIFTY,0
26283.5,2025-12-19 11:50:00,NFO,24-FEB-2026,26283.5,26283.5,26283.5,608140,Futures,NIFTY,0
26291.3,2025-12-19 11:51:00,NFO,24-FEB-2026,26291.3,26283.5,26283.5,608205,Futures,NIFTY,65
26291.3,2025-12-19 11:52:00,NFO,24-FEB-2026,26291.3,26291.3,26291.3,608205,Futures,NIFTY,0
26291.3,2025-12-19 11:53:00,NFO,24-FEB-2026,26291.3,26291.3,26291.3,608270,Futures,NIFTY,65
26290.4,2025-12-19 11:54:00,NFO,24-FEB-2026,26294.8,26285.7,26291.3,608270,Futures,NIFTY,520
26287.3,2025-12-19 11:55:00,NFO,24-FEB-2026,26290.4,26287.3,26290.4,608270,Futures,NIFTY,130
26294.0,2025-12-19 11:56:00,NFO,24-FEB-2026,26294.0,26287.3,26287.3,608270,Futures,NIFTY,65
26290.0,2025-12-19 11:57:00,NFO,24-FEB-2026,26294.0,26290.0,26294.0,608270,Futures,NIFTY,130
26285.0,2025-12-19 11:58:00,NFO,24-FEB-2026,26290.0,26285.0,26290.0,608270,Futures,NIFTY,195
26285.0,2025-12-19 11:59:00,NFO,24-FEB-2026,26285.0,26285.0,26285.0,608270,Futures,NIFTY,0
26295.1,2025-12-19 12:00:00,NFO,24-FEB-2026,26295.1,26285.0,26285.0,608205,Futures,NIFTY,130
26300.0,2025-12-19 12:01:00,NFO,24-FEB-2026,26300.0,26290.5,26295.1,608205,Futures,NIFTY,260
26303.0,2025-12-19 12:02:00,NFO,24-FEB-2026,26303.0,26300.0,26300.0,608205,Futures,NIFTY,0
26302.8,2025-12-19 12:03:00,NFO,24-FEB-2026,26303.0,26297.1,26303.0,608205,Futures,NIFTY,585
26302.2,2025-12-19 12:04:00,NFO,24-FEB-2026,26302.8,26302.2,26302.8,608205,Futures,NIFTY,65
26303.4,2025-12-19 12:05:00,NFO,24-FEB-2026,26303.5,26302.2,26302.2,607880,Futures,NIFTY,130
26303.4,2025-12-19 12:06:00,NFO,24-FEB-2026,26303.4,26303.4,26303.4,607880,Futures,NIFTY,0
26302.2,2025-12-19 12:07:00,NFO,24-FEB-2026,26303.4,26302.2,26303.4,607880,Futures,NIFTY,130
26302.2,2025-12-19 12:08:00,NFO,24-FEB-2026,26302.2,26302.2,26302.2,608075,Futures,NIFTY,130
26306.0,2025-12-19 12:09:00,NFO,24-FEB-2026,26306.0,26302.2,26302.2,608075,Futures,NIFTY,260
26304.6,2025-12-19 12:10:00,NFO,24-FEB-2026,26306.0,26304.6,26306.0,608075,Futures,NIFTY,65
26304.6,2025-12-19 12:11:00,NFO,24-FEB-2026,26304.6,26304.6,26304.6,608075,Futures,NIFTY,0
26300.1,2025-12-19 12:12:00,NFO,24-FEB-2026,26304.6,26300.1,26304.6,607815,Futures,NIFTY,65
26300.1,2025-12-19 12:13:00,NFO,24-FEB-2026,26300.1,26300.1,26300.1,607815,Futures,NIFTY,0
26300.1,2025-12-19 12:14:00,NFO,24-FEB-2026,26300.1,26300.1,26300.1,607815,Futures,NIFTY,0
26300.1,2025-12-19 12:15:00,NFO,24-FEB-2026,26300.1,26300.1,26300.1,607815,Futures,NIFTY,0
26300.1,2025-12-19 12:16:00,NFO,24-FEB-2026,26300.1,26300.1,26300.1,607815,Futures,NIFTY,0
26300.1,2025-12-19 12:17:00,NFO,24-FEB-2026,26300.1,26300.1,26300.1,607815,Futures,NIFTY,0
26300.0,2025-12-19 12:18:00,NFO,24-FEB-2026,26304.6,26300.0,26300.1,607750,Futures,NIFTY,130
26300.0,2025-12-19 12:19:00,NFO,24-FEB-2026,26301.5,26300.0,26300.0,607750,Futures,NIFTY,130
26300.0,2025-12-19 12:20:00,NFO,24-FEB-2026,26300.0,26300.0,26300.0,607750,Futures,NIFTY,0
26300.0,2025-12-19 12:21:00,NFO,24-FEB-2026,26300.0,26300.0,26300.0,607750,Futures,NIFTY,0
26300.0,2025-12-19 12:22:00,NFO,24-FEB-2026,26300.0,26300.0,26300.0,607750,Futures,NIFTY,0
