SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ABBOTINDIA,EQ,23-Apr-2026,25420.0,25440.0,25675.0, 25350.00,25450.0,25410.0,25456.11,10085.0,2567.25,5007.0, 6358, 63.04
ABCAPITAL,EQ,23-Apr-2026,350.7,348.25,354.35, 346.95,349.95,349.75,350.64,4221595.0,14802.51,40334.0, 2565489, 60.77
ABCOTS,EQ,23-Apr-2026,401.35,400.3,400.95, 384.10,385.0,388.55,393.1,80963.0,318.27,1878.0, 38857, 47.99
ABDL,EQ,23-Apr-2026,553.1,552.0,573.9, 550.00,565.0,561.15,563.36,336248.0,1894.29,7629.0, 152072, 45.23
ABFRL,EQ,23-Apr-2026,64.99,64.25,65.27, 63.00,63.37,63.2,63.95,2959925.0,1892.92,11441.0, 1711085, 57.81
ABGSEC,EQ,23-Apr-2026,112.0,112.37,113.09, 111.37,112.66,111.39,112.37,1461.0,1.64,26.0, 923, 63.18
ABHAPOWER,SM,23-Apr-2026,29.5,29.5,29.5, 28.50,28.5,28.65,28.88,6400.0,1.85,4.0, 6400, 100.00
ABINFRA,EQ,23-Apr-2026,15.08,15.03,16.24, 14.69,15.85,15.59,15.75,2836460.0,446.67,3849.0, 1614816, 56.93
ABLBL,EQ,23-Apr-2026,109.12,108.61,109.2, 105.85,106.12,106.13,107.24,358398.0,384.34,5083.0, 195834, 54.64
ABMINTLLTD,BE,23-Apr-2026,47.25,47.0,47.0, 45.04,45.11,45.36,45.57,242.0,0.11,16.0, -, -
ABMKNO,EQ,23-Apr-2026,237.9,240.0,254.9, 232.00,254.9,254.8,254.17,1043.0,2.65,10.0, 1041, 99.81
ABREL,EQ,23-Apr-2026,1413.9,1419.9,1447.7, 1411.20,1430.0,1423.4,1428.83,151767.0,2168.49,11783.0, 71908, 47.38
ABSL10BANK,EQ,23-Apr-2026,174.16,168.54,172.5, 167.00,171.0,169.1,167.64,11620.0,19.48,125.0, 3530, 30.38
ABSLAMC,EQ,23-Apr-2026,1019.95,1020.0,1078.0, 1011.05,1047.0,1047.45,1041.57,1463823.0,15246.76,70614.0, 486693, 33.25
ABSLBANETF,EQ,23-Apr-2026,58.3,58.3,58.3, 57.50,57.61,57.51,57.72,123938.0,71.53,374.0, 116000, 93.60
ABSLLIQUID,EQ,23-Apr-2026,999.99,1000.0,1000.01, 999.99,1000.0,1000.0,1000.0,2991.0,29.91,20.0, 2772, 92.68
ABSLMSCIN,EQ,23-Apr-2026,29.38,29.29,29.3, 29.21,29.21,29.21,29.26,88.0,0.03,7.0, 86, 97.73
ABSLNN50ET,EQ,23-Apr-2026,74.86,74.9,74.9, 73.51,74.73,73.88,74.05,508187.0,376.32,317.0, 505586, 99.49
ABSLPSE,EQ,23-Apr-2026,11.1,11.15,11.2, 10.98,11.07,11.05,11.07,167665.0,18.56,476.0, 109167, 65.11
ABSMARINE,SM,23-Apr-2026,215.65,214.2,223.45, 212.00,212.0,214.65,219.13,91500.0,200.5,109.0, 69000, 75.41
ACC,EQ,23-Apr-2026,1446.4,1439.0,1439.7, 1420.00,1423.9,1423.1,1426.47,128954.0,1839.48,8994.0, 65305, 50.64
ACCELYA,EQ,23-Apr-2026,1210.4,1201.2,1211.3, 1198.20,1201.0,1202.8,1203.31,7033.0,84.63,579.0, 4274, 60.77
ACCENTMIC,SM,23-Apr-2026,420.95,425.0,438.95, 419.00,430.0,431.8,428.68,36000.0,154.32,65.0, 27000, 75.00
ACCORD,ST,23-Apr-2026,43.95,46.1,46.1, 41.80,43.95,43.95,44.69,58000.0,25.92,23.0, 28000, 48.28
ACCPL,SM,23-Apr-2026,93.0,93.0,93.0, 89.50,89.5,89.75,90.65,12000.0,10.88,10.0, 7200, 60.00
ACCURACY,BE,23-Apr-2026,5.38,5.37,5.37, 5.25,5.26,5.25,5.28,106360.0,5.61,280.0, -, -
ACE,EQ,23-Apr-2026,934.4,934.4,939.9, 914.00,918.3,916.55,926.87,237996.0,2205.92,10417.0, 127270, 53.48
ACEINTEG,EQ,23-Apr-2026,20.68,20.58,21.8, 19.70,20.27,20.41,20.6,111330.0,22.94,318.0, 98287, 88.28
ACETEC,SM,23-Apr-2026,122.5,120.0,120.0, 115.00,119.7,119.7,116.28,247200.0,287.44,18.0, 241200, 97.57
ACI,EQ,23-Apr-2026,591.05,596.65,609.85, 590.10,597.05,596.85,599.74,89019.0,533.88,5479.0, 32908, 36.97
ACL,EQ,23-Apr-2026,56.08,56.09,56.99, 54.02,55.35,54.92,55.19,24659.0,13.61,622.0, 13856, 56.19
ACMESOLAR,EQ,23-Apr-2026,303.55,303.0,314.0, 300.35,310.0,309.2,307.67,1565556.0,4816.67,24893.0, 671717, 42.91
