close,datetime,exchange_code,high,low,open,stock_code,volume
17902.05,2021-11-08 10:46:00,NSE,17906.25,17900.4,17900.4,NIFTY,965750
17901.3,2021-11-08 10:47:00,NSE,17902.7,17899.3,17902.5,NIFTY,515879
17891.55,2021-11-08 10:48:00,NSE,17900.85,17889.35,17900.85,NIFTY,1063869
17893.95,2021-11-08 10:49:00,NSE,17898.85,17891.2,17893.1,NIFTY,699920
17901.1,2021-11-08 10:50:00,NSE,17902.65,17893.6,17893.75,NIFTY,670573
17896.25,2021-11-08 10:51:00,NSE,17901.2,17895.3,17900.8,NIFTY,623955
17893.65,2021-11-08 10:52:00,NSE,17896.55,17892.05,17895.15,NIFTY,632634
17895.35,2021-11-08 10:53:00,NSE,17895.35,17891.9,17892.5,NIFTY,929501
17894.2,2021-11-08 10:54:00,NSE,17895.25,17891.1,17894.6,NIFTY,777433
17898.05,2021-11-08 10:55:00,NSE,17899.55,17894.85,17894.85,NIFTY,717182
17893.7,2021-11-08 10:56:00,NSE,17897.2,17893.3,17896.7,NIFTY,541410
17890.2,2021-11-08 10:57:00,NSE,17894.15,17887.5,17894.0,NIFTY,568215
17884.75,2021-11-08 10:58:00,NSE,17889.35,17883.5,17889.35,NIFTY,572361
17889.8,2021-11-08 10:59:00,NSE,17889.8,17882.9,17884.1,NIFTY,845822
17894.1,2021-11-08 11:00:00,NSE,17894.95,17891.0,17891.75,NIFTY,646876
17896.4,2021-11-08 11:01:00,NSE,17898.85,17892.55,17892.55,NIFTY,743681
17890.5,2021-11-08 11:02:00,NSE,17895.2,17888.6,17895.2,NIFTY,490946
17893.7,2021-11-08 11:03:00,NSE,17897.6,17891.3,17891.6,NIFTY,589930
17893.95,2021-11-08 11:04:00,NSE,17894.15,17892.6,17893.85,NIFTY,552994
17902.75,2021-11-08 11:05:00,NSE,17903.1,17893.8,17893.8,NIFTY,569718
17911.7,2021-11-08 11:06:00,NSE,17912.5,17900.1,17901.9,NIFTY,755781
17911.9,2021-11-08 11:07:00,NSE,17914.15,17909.55,17911.55,NIFTY,483756
17911.2,2021-11-08 11:08:00,NSE,17912.65,17910.1,17911.45,NIFTY,541178
17919.15,2021-11-08 11:09:00,NSE,17919.15,17911.3,17911.3,NIFTY,561760
17917.0,2021-11-08 11:10:00,NSE,17920.3,17914.15,17920.05,NIFTY,782452
17917.65,2021-11-08 11:11:00,NSE,17920.65,17916.0,17916.7,NIFTY,855600
17915.15,2021-11-08 11:12:00,NSE,17918.2,17914.0,17917.0,NIFTY,855227
17921.25,2021-11-08 11:13:00,NSE,17921.9,17912.65,17913.15,NIFTY,572709
17918.1,2021-11-08 11:14:00,NSE,17921.35,17916.85,17920.65,NIFTY,842183
17923.3,2021-11-08 11:15:00,NSE,17927.05,17916.85,17917.55,NIFTY,853841
17914.35,2021-11-08 11:16:00,NSE,17923.8,17914.15,17923.75,NIFTY,727806
17912.0,2021-11-08 11:17:00,NSE,17914.6,17910.7,17914.3,NIFTY,641954
17905.9,2021-11-08 11:18:00,NSE,17911.9,17905.2,17911.9,NIFTY,905066
17906.25,2021-11-08 11:19:00,NSE,17908.6,17902.7,17906.05,NIFTY,751312
17903.55,2021-11-08 11:20:00,NSE,17909.25,17903.55,17905.95,NIFTY,666808
17903.95,2021-11-08 11:21:00,NSE,17905.7,17900.65,17903.35,NIFTY,493044
17901.85,2021-11-08 11:22:00,NSE,17904.0,17900.7,17903.85,NIFTY,582821
17905.3,2021-11-08 11:23:00,NSE,17905.65,17898.5,17901.45,NIFTY,584839
17907.1,2021-11-08 11:24:00,NSE,17910.05,17904.25,17905.75,NIFTY,480950
17900.35,2021-11-08 11:25:00,NSE,17908.45,17899.35,17906.45,NIFTY,622010
17907.2,2021-11-08 11:26:00,NSE,17907.2,17899.95,17900.15,NIFTY,398417
17906.7,2021-11-08 11:27:00,NSE,17908.25,17904.85,17907.75,NIFTY,476746
17903.85,2021-11-08 11:28:00,NSE,17907.2,17903.25,17906.55,NIFTY,421309
17894.85,2021-11-08 11:29:00,NSE,17905.3,17893.2,17904.65,NIFTY,861334
17894.8,2021-11-08 11:30:00,NSE,17895.65,17878.95,17894.4,NIFTY,1002404
17889.6,2021-11-08 11:31:00,NSE,17895.25,17887.05,17894.05,NIFTY,710780
17889.35,2021-11-08 11:32:00,NSE,17891.35,17888.05,17889.25,NIFTY,944204
17886.05,2021-11-08 11:33:00,NSE,17889.9,17882.8,17889.5,NIFTY,735025
17885.45,2021-11-08 11:34:00,NSE,17886.8,17883.6,17885.0,NIFTY,1166250
17868.25,2021-11-08 11:35:00,NSE,17887.45,17867.05,17886.0,NIFTY,1261918
17873.25,2021-11-08 11:36:00,NSE,17873.35,17866.7,17867.45,NIFTY,725444
17873.9,2021-11-08 11:37:00,NSE,17877.1,17872.75,17872.75,NIFTY,533542
17873.0,2021-11-08 11:38:00,NSE,17873.8,17871.45,17873.7,NIFTY,545641
17864.4,2021-11-08 11:39:00,NSE,17872.15,17860.95,17872.15,NIFTY,712370
17864.2,2021-11-08 11:40:00,NSE,17865.3,17862.3,17865.15,NIFTY,635453
17873.35,2021-11-08 11:41:00,NSE,17874.5,17864.25,17864.55,NIFTY,515709
17882.7,2021-11-08 11:42:00,NSE,17882.7,17873.1,17873.6,NIFTY,664513
