symbol,ex_date,action_type,ratio,issue_price,premium,remarks
TECHM,19-Mar-2015,BONUS,1:1,,,Bonus 1:1 / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share
TITAN,23-Jun-2011,BONUS,1:1,,,Bonus 1:1 / Face Value Split From Rs.10/- To Re.1/-
TORNTPHARM,08-Jul-2022,BONUS,1:1,,,Bonus 1:1
TRENT,12-Sep-2016,SPLIT,1:10,,, Face Value Split From Rs 10 To Re 1
UPL,02-Jul-2019,BONUS,1:2,,, Bonus 1:2
UPL,26-Nov-2024,RIGHTS,1:8,360.0,358.0,Rights 1:8 @ Premium Rs 358/-
VBL,06-Jun-2022,BONUS,1:2,,,Bonus 1:2
VBL,10-Jun-2021,BONUS,1:2,,, Bonus 1:2
VBL,12-Sep-2024,SPLIT,1:2.5,,,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share
VBL,15-Jun-2023,SPLIT,1:2,,,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
WIPRO,03-Dec-2024,BONUS,1:1,,,Bonus 1:1
WIPRO,06-Mar-2019,BONUS,1:3,,, Bonus 1:3
